datetime,price_open,price_high,price_low,price_close,volume
2010-06-30,1.72,2.03,1.55,1.59,Jun 29 2010
2010-07-02,1.53,1.54,1.25,1.28,Jul 1 2010
2010-07-07,1.09,1.11,1.00,1.05,Jul 6 2010
2010-07-09,1.17,1.19,1.10,1.16,Jul 8 2010
2010-07-13,1.16,1.24,1.13,1.21,Jul 12 2010
2010-07-15,1.33,1.43,1.27,1.33,Jul 14 2010
2010-07-19,1.42,1.48,1.39,1.46,Jul 16 2010
2010-07-21,1.38,1.39,1.30,1.35,Jul 20 2010
2010-07-23,1.41,1.44,1.40,1.42,Jul 22 2010
2010-07-27,1.39,1.41,1.35,1.37,Jul 26 2010
2010-07-29,1.38,1.39,1.33,1.36,Jul 28 2010
2010-08-02,1.37,1.40,1.36,1.39,Jul 30 2010
2010-08-04,1.46,1.48,1.39,1.42,Aug 3 2010
2010-08-06,1.34,1.34,1.30,1.31,Aug 5 2010
2010-08-10,1.31,1.31,1.25,1.27,Aug 9 2010
2010-08-12,1.19,1.19,1.16,1.17,Aug 11 2010
2010-08-16,1.23,1.25,1.22,1.25,Aug 13 2010
2010-08-18,1.31,1.31,1.24,1.25,Aug 17 2010
2010-08-20,1.24,1.27,1.23,1.27,Aug 19 2010
2010-08-24,1.28,1.31,1.26,1.28,Aug 23 2010
2010-08-26,1.33,1.35,1.31,1.32,Aug 25 2010
2010-08-30,1.31,1.35,1.31,1.32,Aug 27 2010
2010-09-01,1.31,1.38,1.31,1.36,Aug 31 2010
2010-09-03,1.39,1.42,1.38,1.40,Sep 2 2010
2010-09-08,1.38,1.40,1.37,1.39,Sep 7 2010
2010-09-10,1.38,1.40,1.32,1.34,Sep 9 2010
2010-09-14,1.37,1.44,1.37,1.41,Sep 13 2010
2010-09-16,1.48,1.54,1.39,1.40,Sep 15 2010
2010-09-20,1.38,1.42,1.34,1.40,Sep 17 2010
2010-09-22,1.39,1.40,1.32,1.32,Sep 21 2010
2010-09-24,1.33,1.35,1.31,1.34,Sep 23 2010
2010-09-28,1.40,1.43,1.38,1.43,Sep 27 2010
2010-09-30,1.47,1.48,1.35,1.36,Sep 29 2010
2010-10-04,1.36,1.41,1.35,1.40,Oct 1 2010
2010-10-06,1.40,1.42,1.35,1.36,Oct 5 2010
2010-10-08,1.36,1.39,1.36,1.36,Oct 7 2010
2010-10-12,1.35,1.35,1.34,1.35,Oct 11 2010
2010-10-14,1.40,1.40,1.36,1.38,Oct 13 2010
2010-10-18,1.37,1.38,1.35,1.35,Oct 15 2010
2010-10-20,1.34,1.38,1.34,1.38,Oct 19 2010
2010-10-22,1.38,1.40,1.37,1.38,Oct 21 2010
2010-10-26,1.39,1.46,1.37,1.42,Oct 25 2010
2010-10-28,1.43,1.43,1.40,1.41,Oct 27 2010
2010-11-01,1.46,1.52,1.42,1.43,Oct 29 2010
2010-11-03,1.42,1.50,1.41,1.45,Nov 2 2010
2010-11-05,1.66,1.66,1.58,1.63,Nov 4 2010
2010-11-09,1.67,1.71,1.60,1.64,Nov 8 2010
2010-11-11,1.91,1.94,1.82,1.87,Nov 10 2010
2010-11-15,2.01,2.20,2.01,2.05,Nov 12 2010
2010-11-17,2.01,2.05,1.91,1.97,Nov 16 2010
2010-11-19,2.01,2.09,1.98,2.07,Nov 18 2010
2010-11-23,2.22,2.38,2.15,2.30,Nov 22 2010
2010-11-26,2.37,2.40,2.32,2.35,Nov 24 2010
2010-11-30,2.25,2.36,2.23,2.36,Nov 29 2010
2010-12-02,2.27,2.29,2.08,2.16,Dec 1 2010
2010-12-06,2.09,2.10,1.97,2.02,Dec 3 2010
2010-12-08,2.17,2.17,2.10,2.16,Dec 7 2010
2010-12-10,2.14,2.19,2.08,2.10,Dec 9 2010
2010-12-14,2.02,2.03,1.85,1.90,Dec 13 2010
2010-12-16,2.00,2.06,1.98,2.05,Dec 15 2010
2010-12-20,2.11,2.15,2.08,2.11,Dec 17 2010
2010-12-22,2.15,2.19,2.11,2.18,Dec 21 2010
2010-12-27,1.87,1.91,1.67,1.70,Dec 23 2010
2010-12-29,1.80,1.87,1.77,1.85,Dec 28 2010
2010-12-31,1.77,1.82,1.77,1.78,Dec 30 2010
2011-01-04,1.78,1.80,1.73,1.78,Jan 3 2011
2011-01-06,1.79,1.87,1.79,1.86,Jan 5 2011
2011-01-10,1.88,1.91,1.87,1.90,Jan 7 2011
2011-01-12,1.80,1.83,1.77,1.80,Jan 11 2011
2011-01-14,1.74,1.77,1.71,1.72,Jan 13 2011
2011-01-19,1.68,1.70,1.58,1.60,Jan 18 2011
2011-01-21,1.54,1.57,1.51,1.54,Jan 20 2011
2011-01-25,1.64,1.66,1.60,1.65,Jan 24 2011
2011-01-27,1.65,1.67,1.64,1.66,Jan 26 2011
2011-01-31,1.60,1.61,1.57,1.61,Jan 28 2011
2011-02-02,1.61,1.61,1.58,1.60,Feb 1 2011
2011-02-04,1.56,1.58,1.55,1.56,Feb 3 2011
2011-02-08,1.59,1.68,1.53,1.63,Feb 7 2011
2011-02-10,1.55,1.58,1.52,1.55,Feb 9 2011
2011-02-14,1.58,1.61,1.54,1.54,Feb 11 2011
2011-02-16,1.54,1.66,1.54,1.65,Feb 15 2011
2011-02-18,1.56,1.57,1.53,1.55,Feb 17 2011
2011-02-23,1.48,1.50,1.41,1.46,Feb 22 2011
2011-02-25,1.52,1.59,1.51,1.57,Feb 24 2011
2011-03-01,1.60,1.62,1.58,1.60,Feb 28 2011
2011-03-03,1.63,1.65,1.60,1.62,Mar 2 2011
2011-03-07,1.66,1.69,1.65,1.66,Mar 4 2011
2011-03-09,1.64,1.67,1.62,1.65,Mar 8 2011
2011-03-11,1.59,1.62,1.57,1.60,Mar 10 2011
2011-03-15,1.48,1.53,1.45,1.53,Mar 14 2011
2011-03-17,1.55,1.56,1.51,1.52,Mar 16 2011
2011-03-21,1.54,1.54,1.50,1.52,Mar 18 2011
2011-03-23,1.47,1.48,1.45,1.48,Mar 22 2011
2011-03-25,1.50,1.53,1.49,1.52,Mar 24 2011
2011-03-29,1.55,1.60,1.55,1.59,Mar 28 2011
2011-03-31,1.77,1.91,1.77,1.85,Mar 30 2011
2011-04-04,1.79,1.80,1.68,1.72,Apr 1 2011
2011-04-06,1.80,1.80,1.72,1.77,Apr 5 2011
2011-04-08,1.84,1.84,1.76,1.77,Apr 7 2011
2011-04-12,1.67,1.68,1.62,1.64,Apr 11 2011
2011-04-14,1.66,1.69,1.61,1.68,Apr 13 2011
2011-04-18,1.68,1.71,1.62,1.67,Apr 15 2011
2011-04-20,1.71,1.74,1.69,1.72,Apr 19 2011
2011-04-25,1.78,1.78,1.73,1.76,Apr 21 2011
2011-04-27,1.80,1.82,1.78,1.81,Apr 26 2011
2011-04-29,1.85,1.86,1.83,1.84,Apr 28 2011
2011-05-03,1.83,1.83,1.77,1.79,May 2 2011
2011-05-05,1.81,1.83,1.74,1.76,May 4 2011
2011-05-09,1.80,1.87,1.79,1.86,May 6 2011
2011-05-11,1.88,1.89,1.79,1.80,May 10 2011
2011-05-13,1.87,1.88,1.82,1.84,May 12 2011
2011-05-17,1.80,1.80,1.71,1.73,May 16 2011
2011-05-19,1.80,1.90,1.77,1.88,May 18 2011
2011-05-23,1.84,1.84,1.77,1.79,May 20 2011
2011-05-25,1.79,1.93,1.74,1.93,May 24 2011
2011-05-27,1.97,1.98,1.92,1.97,May 26 2011
2011-06-01,2.00,2.01,1.89,1.90,May 31 2011
2011-06-03,2.00,2.10,1.97,2.01,Jun 2 2011
2011-06-07,1.93,1.96,1.88,1.89,Jun 6 2011
2011-06-09,1.83,1.87,1.81,1.84,Jun 8 2011
2011-06-13,1.87,1.93,1.86,1.90,Jun 10 2011
2011-06-15,1.90,1.90,1.80,1.82,Jun 14 2011
2011-06-17,1.79,1.85,1.74,1.77,Jun 16 2011
2011-06-21,1.75,1.85,1.73,1.84,Jun 20 2011
2011-06-23,1.81,1.85,1.75,1.85,Jun 22 2011
2011-06-27,1.85,1.89,1.82,1.83,Jun 24 2011
2011-06-29,1.90,1.94,1.87,1.89,Jun 28 2011
