datetime,price_open,price_high,price_low,price_close,volume,return_1d,return_3d,return_5d,return_10d,return_20d,volatility_10d,volatility_20d,volatility_30d,vol_ratio_10_30,sma_ratio_10_50,sma_ratio_20_50,rsi_14,bb_pct_b,volume_ratio,volume_trend,price_position_20d,price_position_50d,hl_spread_ma,intraday_vol,close_to_high,log_tx_daily,tx_ma_7,fee_per_tx,hashrate_log,difficulty_log,nupl,active_addr_zscore,realised_cap_log,cdd_log,total_supply_log,mempool_size,exchange_volume_usd,average_block_size,fear_greed_value,prev_close,today_Open_pct,close_to_open_return,return_1d_orig,target,_trainable,dummy_zero
2010-09-08,1.38,1.4,1.37,1.39,4326000,0.014598540145985162,-0.0071428571428571175,0.0692307692307692,0.0859375,0.09448818897637778,0.0232606373571982,0.030953835993099622,0.03152128508481974,0.7379340631343612,1.0214891041162228,0.9836561743341405,67.49999976375,1.1743790965675212,0.5497050386451792,0.7427498594287566,0.8846153505917173,0.3786407730229051,0.0495,2.15827338129495,0.3333332222222617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.007299270072992581,0.007246376811594235,0.014598540145985162,0,True,0.0
2010-09-09,1.4,1.4,1.38,1.38,5643000,-0.007194244604316502,-0.014285714285714346,0.014705882352941124,0.037593984962405846,0.15966386554621836,0.021001340026661944,0.026731510743309362,0.0315318876079148,0.666034765424026,1.0285410657355398,0.9940033399119479,65.85365831171922,1.053379136479811,0.7470585314997766,0.726684207913419,0.8461538136094686,0.36893203525308704,0.047,1.449275362318842,0.99999950000025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39,0.007194244604316502,-0.014285714285714346,-0.007194244604316502,0,True,0.0
2010-09-10,1.38,1.4,1.32,1.34,5799000,-0.02898550724637672,-0.021897810218978075,-0.042857142857142705,0.015151515151515138,0.14529914529914545,0.023271792141237712,0.027449909395397508,0.03187830474611721,0.7300195235092288,1.03398354160317,1.0042669917708018,58.13953469442944,0.7006205176425016,0.7916372311126127,0.7081733574960838,0.6666666388888907,0.4657534182773505,0.04949999999999999,5.970149253731331,0.7499999062500111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.0,-0.02898550724637672,-0.02898550724637672,1,True,0.0
2010-09-13,1.39,1.39,1.37,1.38,5412000,0.02985074626865658,-0.007194244604316502,-0.014285714285714346,0.05343511450381677,0.13114754098360648,0.02457884823563651,0.026712391005504037,0.032048219367613213,0.7669331105223245,1.0405859017393955,1.0115959719255416,54.99999980749998,1.025906286487007,0.7600669903832987,0.6974583680047188,0.7999999600000018,0.7037036906721535,0.04799999999999997,1.449275362318826,0.4999997500001305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,0.03731343283582067,-0.007194244604316502,0.02985074626865658,1,True,0.0
2010-09-14,1.37,1.44,1.37,1.41,9820500,0.021739130434782705,0.021739130434782705,0.029197080291970767,0.06818181818181812,0.1279999999999999,0.025114521457496986,0.02661831148374576,0.03123079332203987,0.8041586762442781,1.0453784071874523,1.0156844830211664,67.56756731190653,1.2401644032039356,1.355093761642588,0.8555284182638573,0.8636363243801669,0.854166648871528,0.04999999999999997,4.9645390070921875,0.4285713673469489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,-0.007246376811594013,0.029197080291970767,0.021739130434782705,1,True,0.0
2010-09-15,1.4,1.47,1.39,1.47,10269000,0.042553191489361764,0.09701492537313428,0.05755395683453246,0.13076923076923075,0.1484375,0.02609516170480158,0.02757111865282301,0.030834906610829355,0.8462861124014471,1.0519146359921296,1.0167246859391552,68.42105237950142,1.5910379026820862,1.3831001565735643,0.9951613717864538,0.9999999600000016,0.9791666462673615,0.05199999999999997,5.442176870748304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,-0.007092198581560294,0.050000000000000044,0.042553191489361764,0,True,0.0
2010-09-16,1.48,1.54,1.39,1.4,40267500,-0.04761904761904767,0.01449275362318847,0.01449275362318847,0.02941176470588225,0.11999999999999988,0.029369035511593998,0.029455912421948786,0.03167948168642528,0.927067763659184,1.0493827160493827,1.017012947907257,59.090908902892565,0.9466021091308866,4.480626236157127,1.5926961369307417,0.5624999824218753,0.7199999856,0.05599999999999997,10.714285714285724,0.9333332711111153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.006802721088435382,-0.05405405405405406,-0.04761904761904767,0,True,0.0
2010-09-17,1.4,1.42,1.32,1.35,17977500,-0.03571428571428559,-0.04255319148936154,0.00746268656716409,-0.03571428571428559,0.08000000000000007,0.030144187524757064,0.03089230536311872,0.03139989242270298,0.9600089554087912,1.0426362408046839,1.0178651854075964,54.166666508680564,0.43934523120693475,1.9020639417239984,1.772117345521778,0.3870967617065564,0.5681818052685954,0.05799999999999996,7.407407407407398,0.6999999300000064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,-0.03571428571428559,-0.03571428571428559,1,True,0.0
2010-09-20,1.38,1.42,1.34,1.4,14212500,0.03703703703703698,-0.04761904761904767,0.01449275362318847,0.0,0.10236220472440927,0.03274673037298082,0.03165997003206745,0.031292284021641616,1.0464790580816261,1.0388930441286464,1.019072550486163,57.69230753698225,0.9077557393022448,1.429800205227259,1.862075209754331,0.5333333155555559,0.658536569303986,0.059999999999999956,5.714285714285704,0.2499999687500046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.022222222222222143,0.01449275362318847,0.03703703703703698,0,True,0.0
2010-09-21,1.39,1.44,1.38,1.38,11940000,-0.014285714285714346,-0.014285714285714346,-0.021276595744680882,0.007299270072992581,0.02985074626865658,0.032290385713098765,0.0296594024675275,0.03144298999251347,1.0269499004798224,1.0359218959606498,1.0169175734088538,57.69230753698225,0.669129443894318,1.2282529028276048,1.947644948501331,0.4666666511111112,0.6097560826888758,0.058499999999999955,4.347826086956526,0.9999998333333611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,-0.0071428571428571175,-0.007194244604316502,-0.014285714285714346,0,True,0.0
